PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
SWE,1,m,45,5,O,1,7,1757,31,O,40885,.,.,.,1
SWE,1,m,50,5,O,1,7,1757,31,O,35661,.,.,.,1
SWE,1,m,55,5,O,1,7,1757,31,O,30211,.,.,.,1
SWE,1,m,60,5,O,1,7,1757,31,O,23770,.,.,.,1
SWE,1,m,65,5,O,1,7,1757,31,O,19025,.,.,.,1
SWE,1,m,70,5,O,1,7,1757,31,O,13589,.,.,.,1
SWE,1,m,75,5,O,1,7,1757,31,O,7395,.,.,.,1
SWE,1,m,80,5,O,1,7,1757,31,O,3209,.,.,.,1
SWE,1,m,85,5,O,1,7,1757,31,O,1324,.,.,.,1
SWE,1,m,90,+,O,1,7,1757,31,O,456,.,.,.,1
SWE,1,f,0,1,O,1,7,1758,31,O,26004,.,.,.,1
SWE,1,f,1,2,O,1,7,1758,31,O,50359,.,.,.,1
SWE,1,f,3,2,O,1,7,1758,31,O,50761,.,.,.,1
SWE,1,f,5,5,O,1,7,1758,31,O,98894,.,.,.,1
SWE,1,f,10,5,O,1,7,1758,31,O,92581,.,.,.,1
SWE,1,f,15,5,O,1,7,1758,31,O,80620,.,.,.,1
SWE,1,f,20,5,O,1,7,1758,31,O,84018,.,.,.,1
SWE,1,f,25,5,O,1,7,1758,31,O,78945,.,.,.,1
SWE,1,f,30,5,O,1,7,1758,31,O,74638,.,.,.,1
SWE,1,f,35,5,O,1,7,1758,31,O,63913,.,.,.,1
SWE,1,f,40,5,O,1,7,1758,31,O,55277,.,.,.,1
SWE,1,f,45,5,O,1,7,1758,31,O,47796,.,.,.,1
SWE,1,f,50,5,O,1,7,1758,31,O,42191,.,.,.,1
SWE,1,f,55,5,O,1,7,1758,31,O,38460,.,.,.,1
SWE,1,f,60,5,O,1,7,1758,31,O,33235,.,.,.,1
SWE,1,f,65,5,O,1,7,1758,31,O,27746,.,.,.,1
SWE,1,f,70,5,O,1,7,1758,31,O,20298,.,.,.,1
SWE,1,f,75,5,O,1,7,1758,31,O,11435,.,.,.,1
SWE,1,f,80,5,O,1,7,1758,31,O,5467,.,.,.,1
SWE,1,f,85,5,O,1,7,1758,31,O,2070,.,.,.,1
SWE,1,f,90,+,O,1,7,1758,31,O,708,.,.,.,1
SWE,1,m,0,1,O,1,7,1758,31,O,26280,.,.,.,1
SWE,1,m,1,2,O,1,7,1758,31,O,49761,.,.,.,1
SWE,1,m,3,2,O,1,7,1758,31,O,50063,.,.,.,1
SWE,1,m,5,5,O,1,7,1758,31,O,98752,.,.,.,1
SWE,1,m,10,5,O,1,7,1758,31,O,92643,.,.,.,1
SWE,1,m,15,5,O,1,7,1758,31,O,76048,.,.,.,1
SWE,1,m,20,5,O,1,7,1758,31,O,72188,.,.,.,1
SWE,1,m,25,5,O,1,7,1758,31,O,67643,.,.,.,1
SWE,1,m,30,5,O,1,7,1758,31,O,66905,.,.,.,1
SWE,1,m,35,5,O,1,7,1758,31,O,57735,.,.,.,1
SWE,1,m,40,5,O,1,7,1758,31,O,49723,.,.,.,1
SWE,1,m,45,5,O,1,7,1758,31,O,41485,.,.,.,1
SWE,1,m,50,5,O,1,7,1758,31,O,35318,.,.,.,1
SWE,1,m,55,5,O,1,7,1758,31,O,30768,.,.,.,1
SWE,1,m,60,5,O,1,7,1758,31,O,23882,.,.,.,1
SWE,1,m,65,5,O,1,7,1758,31,O,18591,.,.,.,1
SWE,1,m,70,5,O,1,7,1758,31,O,13439,.,.,.,1
SWE,1,m,75,5,O,1,7,1758,31,O,7462,.,.,.,1
SWE,1,m,80,5,O,1,7,1758,31,O,3225,.,.,.,1
SWE,1,m,85,5,O,1,7,1758,31,O,1281,.,.,.,1
SWE,1,m,90,+,O,1,7,1758,31,O,428,.,.,.,1
SWE,1,f,0,1,O,1,7,1759,31,O,26318,.,.,.,1
SWE,1,f,1,2,O,1,7,1759,31,O,50002,.,.,.,1
SWE,1,f,3,2,O,1,7,1759,31,O,51758,.,.,.,1
SWE,1,f,5,5,O,1,7,1759,31,O,96809,.,.,.,1
SWE,1,f,10,5,O,1,7,1759,31,O,93433,.,.,.,1
SWE,1,f,15,5,O,1,7,1759,31,O,80975,.,.,.,1
SWE,1,f,20,5,O,1,7,1759,31,O,83485,.,.,.,1
SWE,1,f,25,5,O,1,7,1759,31,O,79495,.,.,.,1
SWE,1,f,30,5,O,1,7,1759,31,O,74448,.,.,.,1
SWE,1,f,35,5,O,1,7,1759,31,O,64526,.,.,.,1
SWE,1,f,40,5,O,1,7,1759,31,O,56130,.,.,.,1
SWE,1,f,45,5,O,1,7,1759,31,O,48472,.,.,.,1
SWE,1,f,50,5,O,1,7,1759,31,O,42462,.,.,.,1
SWE,1,f,55,5,O,1,7,1759,31,O,38160,.,.,.,1
SWE,1,f,60,5,O,1,7,1759,31,O,33995,.,.,.,1
SWE,1,f,65,5,O,1,7,1759,31,O,26767,.,.,.,1
SWE,1,f,70,5,O,1,7,1759,31,O,20653,.,.,.,1
SWE,1,f,75,5,O,1,7,1759,31,O,11461,.,.,.,1
SWE,1,f,80,5,O,1,7,1759,31,O,5584,.,.,.,1
SWE,1,f,85,5,O,1,7,1759,31,O,2076,.,.,.,1
SWE,1,f,90,+,O,1,7,1759,31,O,745,.,.,.,1
SWE,1,m,0,1,O,1,7,1759,31,O,26649,.,.,.,1
SWE,1,m,1,2,O,1,7,1759,31,O,49287,.,.,.,1
SWE,1,m,3,2,O,1,7,1759,31,O,50942,.,.,.,1
SWE,1,m,5,5,O,1,7,1759,31,O,99882,.,.,.,1
SWE,1,m,10,5,O,1,7,1759,31,O,93786,.,.,.,1
SWE,1,m,15,5,O,1,7,1759,31,O,76315,.,.,.,1
SWE,1,m,20,5,O,1,7,1759,31,O,71090,.,.,.,1
SWE,1,m,25,5,O,1,7,1759,31,O,66983,.,.,.,1
SWE,1,m,30,5,O,1,7,1759,31,O,65829,.,.,.,1
SWE,1,m,35,5,O,1,7,1759,31,O,57567,.,.,.,1
SWE,1,m,40,5,O,1,7,1759,31,O,49966,.,.,.,1
SWE,1,m,45,5,O,1,7,1759,31,O,41830,.,.,.,1
SWE,1,m,50,5,O,1,7,1759,31,O,35535,.,.,.,1
SWE,1,m,55,5,O,1,7,1759,31,O,30533,.,.,.,1
SWE,1,m,60,5,O,1,7,1759,31,O,24664,.,.,.,1
SWE,1,m,65,5,O,1,7,1759,31,O,18154,.,.,.,1
SWE,1,m,70,5,O,1,7,1759,31,O,13299,.,.,.,1
SWE,1,m,75,5,O,1,7,1759,31,O,7377,.,.,.,1
SWE,1,m,80,5,O,1,7,1759,31,O,3316,.,.,.,1
SWE,1,m,85,5,O,1,7,1759,31,O,1192,.,.,.,1
SWE,1,m,90,+,O,1,7,1759,31,O,397,.,.,.,1
SWE,1,f,0,1,O,1,7,1760,31,O,27252,.,.,.,1
SWE,1,f,1,2,O,1,7,1760,31,O,50410,.,.,.,1
SWE,1,f,3,2,O,1,7,1760,31,O,52011,.,.,.,1
SWE,1,f,5,5,O,1,7,1760,31,O,95223,.,.,.,1
SWE,1,f,10,5,O,1,7,1760,31,O,94765,.,.,.,1
